,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
56,Maryland,,,2010,Unspecified,Waste Facility,2.0,24000,147.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1902685.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
57,Maryland,,,2010,Unspecified,Incinerator,2.0,24000,147.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1374883,0.0,,0.0,0.0
58,Maryland,,,2010,Unspecified,Waste Facility,2.0,24000,147.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,15622.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
59,Maryland,,,2009,Unspecified,Waste Facility,2.0,24000,148.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2568310.0,0.0
60,Maryland,,,2009,Unspecified,Landfill,2.0,24000,148.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1769936.0,0.0,0.0,,,0.0,,0.0,0.0
61,Maryland,,,2009,Unspecified,Waste Facility,2.0,24000,148.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,2040065.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
62,Maryland,,,2009,Unspecified,Incinerator,2.0,24000,148.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1301501,0.0,,0.0,0.0
63,Maryland,,,2009,Unspecified,Waste Facility,2.0,24000,148.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,15452.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
64,Maryland,,,2008,Unspecified,Waste Facility,2.0,24000,149.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,3369057.0,0.0
65,Maryland,,,2008,Unspecified,Waste Facility,2.0,24000,149.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,2013567.0,0.0,0.0,,,0.0,,0.0,0.0
66,Maryland,,,2008,Unspecified,Waste Facility,2.0,24000,149.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1774558.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
67,Maryland,,,2008,Unspecified,Waste Facility,2.0,24000,149.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1406867,0.0,,0.0,0.0
68,Maryland,,,2008,Unspecified,Waste Facility,2.0,24000,149.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,29542.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
